ApplicationID,CustomerID,ApplicationDate,DecisionDate,LoanPurpose,LoanAmount,LoanTermMonths,InterestRate,Approved,Status,IsFraudApp,FraudReason,ApplicationLocation,ApplicationDeviceID
200001,101677,2024-10-07,2024-10-30,Debt consolidation,43000,60,14.3,0,NotApproved,0,,Maple Ridge,dvc_48740
200002,101320,2023-08-24,2023-09-16,Debt consolidation,25000,12,10.59,1,Closed,0,,Surrey,dvc_58442
200003,100764,2023-06-18,2023-07-09,Debt consolidation,44000,24,11.44,1,Active,0,,Vancouver,dvc_23857
200004,105822,2024-12-25,2025-01-15,Debt consolidation,14000,12,10.95,0,NotApproved,0,,Richmond,dvc_17135
200005,108092,2023-12-29,2024-01-13,Wedding,16000,36,11.99,1,Active,0,,New Westminster,dvc_68200
200006,101732,2023-12-06,2023-12-30,Wedding,16000,12,11.22,1,Closed,0,,Coquitlam,dvc_94989
200007,107058,2023-11-19,2023-12-09,Car Loan,6000,60,11.11,0,NotApproved,1,Location,Langley,dvc_77628
200008,108968,2023-09-15,2023-10-06,Wedding,15000,60,11.13,0,NotApproved,0,,Penticton,dvc_19822
200009,102213,2024-12-22,2025-01-08,Debt consolidation,13000,24,10.5,1,Active,0,,Nanaimo,dvc_20299
200010,105414,2023-08-17,2023-09-06,Debt consolidation,8000,12,10.21,1,Closed,0,,Campbell River,dvc_30391
200011,108767,2024-11-05,2024-11-29,Medical expenses,24000,48,13.54,1,Active,0,,Vancouver,dvc_42210
200012,109039,2024-12-25,2025-01-17,Wedding,25000,12,10.6,1,Active,0,,West Vancouver,dvc_50240
200013,102755,2025-04-21,2025-05-09,Debt consolidation,2000,48,10.4,1,Active,0,,Vernon,dvc_46437
200014,104508,2024-07-26,2024-08-20,Debt consolidation,20000,60,10.74,1,Active,0,,North Vancouver,dvc_69947
200015,103309,2023-08-05,2023-08-24,Debt consolidation,15000,12,11.24,1,Closed,0,,Nanaimo,dvc_98366
200016,102284,2024-08-30,2024-09-23,Debt consolidation,29000,36,15.37,1,Active,0,,Maple Ridge,dvc_87629
200017,108157,2024-04-21,2024-05-15,Car Loan,18000,24,11.96,1,Active,0,,Surrey,dvc_37562
200018,102131,2023-06-23,2023-07-18,Car Loan,10000,12,11.24,0,NotApproved,0,,Vancouver,dvc_92499
200019,107025,2023-06-22,2023-07-12,Emergency,9000,24,11.01,1,Active,0,,Maple Ridge,dvc_11804
200020,109588,2023-08-10,2023-08-31,Emergency,4000,12,15.17,0,NotApproved,0,,Vancouver,dvc_47053
200021,103435,2023-11-15,2023-12-06,Home renovation,15000,12,11.84,1,Closed,0,,Vancouver,app_dvc_103435
200022,104072,2023-11-26,2023-12-17,Debt consolidation,26000,36,11.92,1,Active,0,,North Vancouver,dvc_94294
200023,109511,2024-06-25,2024-07-13,Wedding,3000,24,10.04,1,Active,0,,Coquitlam,dvc_65223
200024,103168,2024-09-08,2024-09-30,Debt consolidation,44000,24,14.27,0,NotApproved,0,,Vancouver,dvc_53800
200025,109377,2023-06-19,2023-07-06,Car Loan,20000,60,16.37,1,Active,0,,Burnaby,dvc_76304
