CustomerID,NumOpenAccounts,NumClosedAccounts,NumLatePayments,AvgAccountAgeMonths,CreditUtilization,LoanToValue,NumMortgages,TotalDebt,RecurringPayment,NumHardInquiries
100001,10,10,1,113,0.6,1.34,4,15177.76,251.73,5
100002,5,7,2,86,0.3,1.05,2,180380.53,2002.0,1
100003,13,0,1,224,0.37,1.11,5,40870.56,2299.83,0
100004,13,7,3,171,0.7,1.12,5,172547.02,672.27,7
100005,6,7,4,33,0.36,0.54,4,45135.19,472.77,8
100006,3,6,0,120,0.81,0.88,5,199014.2,1074.14,3
100007,14,0,1,81,0.35,1.33,1,151414.87,2436.29,2
100008,8,2,2,121,0.82,0.67,1,194084.19,548.22,2
100009,4,5,0,239,0.3,1.22,1,134802.91,1443.43,6
100010,15,6,3,114,0.24,0.6,1,10511.5,194.81,1
100011,13,2,0,62,0.44,1.12,0,168436.37,354.32,9
100012,9,7,2,132,0.68,0.54,2,50622.77,1868.35,6
100013,4,9,2,24,0.24,0.38,4,172549.47,221.09,5
100014,3,4,2,131,0.48,1.14,5,73600.29,754.34,0
100015,14,0,1,189,0.92,1.0,0,25406.47,2431.79,8
100016,13,5,2,98,0.91,0.52,5,22666.47,665.23,8
100017,15,4,2,81,0.43,0.38,4,6304.12,261.73,10
100018,11,2,3,128,0.29,0.54,4,68255.81,745.69,9
100019,10,2,3,33,0.98,0.86,0,61497.95,785.78,10
100020,15,2,6,218,0.12,1.2,3,22425.06,583.1,8
100021,9,1,3,212,0.12,1.35,5,155346.64,1169.97,1
100022,14,2,3,138,0.46,0.55,2,118427.12,314.4,6
100023,9,4,1,183,0.37,0.61,1,16003.71,955.97,5
100024,1,7,2,215,0.24,0.57,0,48136.13,911.65,10
100025,4,7,4,74,0.71,0.55,4,159426.37,2357.0,5
100026,13,10,4,172,0.35,0.86,2,111482.28,1504.32,2
100027,9,8,0,214,0.7,1.29,5,73214.32,256.26,4
100028,13,4,1,37,0.95,0.73,0,6521.44,1624.71,5
100029,5,8,1,31,0.92,0.86,5,63228.16,689.31,2
100030,11,5,2,85,0.93,0.61,1,152278.57,231.23,4
100031,10,9,1,141,0.59,1.4,5,9843.07,1301.45,1
100032,4,5,2,128,0.53,1.19,0,2902.5,2430.45,0
100033,2,1,2,115,0.31,0.94,0,118504.18,1932.24,3
100034,2,6,4,189,0.27,0.78,2,95443.37,1364.07,1
100035,12,7,3,55,0.92,0.8,2,49140.27,1115.52,1
100036,14,6,2,39,0.1,1.17,4,156313.07,1533.39,6
100037,11,1,1,54,0.64,0.5,0,144586.46,689.21,8
100038,8,9,1,11,0.72,0.93,3,17867.43,959.76,1
100039,15,3,1,220,0.22,0.58,3,77232.6,2185.77,3
100040,3,8,3,172,0.93,0.51,1,166747.24,1722.13,7
100041,5,6,5,12,0.95,0.69,5,164052.02,2359.8,9
100042,8,1,1,92,0.32,0.64,0,103753.88,931.1,10
100043,10,2,5,105,0.21,0.81,2,21071.8,1530.97,5
100044,7,8,1,130,0.26,1.1,4,31849.55,642.29,5
100045,13,5,1,49,0.12,0.73,3,14812.39,2137.18,9
100046,6,8,1,141,0.89,0.52,2,97335.75,630.1,3
100047,5,5,6,135,0.32,0.75,5,93362.49,2146.43,4
100048,3,10,2,14,0.41,1.28,3,79693.55,594.6,3
100049,11,8,4,225,0.65,1.1,0,175511.55,1997.05,2
100050,8,6,2,70,0.83,0.87,4,138357.26,1137.76,9
100051,7,9,1,207,0.44,1.31,0,33174.74,1090.11,9
100052,11,4,0,10,0.89,0.81,5,58256.93,1405.18,5
100053,9,0,2,50,1.0,0.82,4,18626.35,1493.19,1
100054,15,4,3,108,0.51,1.01,5,118974.62,1922.34,7
100055,12,1,4,137,0.11,0.95,1,119667.39,1784.94,4
100056,2,4,1,140,0.57,0.39,0,115016.75,618.55,7
100057,5,2,4,81,0.22,1.27,0,113085.58,713.69,2
100058,1,2,4,76,0.26,0.93,4,164394.42,1815.26,2
100059,2,9,1,175,0.41,0.87,2,110279.58,2399.74,9
100060,2,3,1,119,0.23,1.25,4,26558.21,2265.29,4
100061,10,6,0,98,0.95,0.75,2,92178.98,1463.56,10
100062,14,3,2,179,0.72,1.46,2,131362.55,256.61,1
100063,10,1,4,139,0.58,0.4,0,135332.37,350.57,8
100064,2,6,2,238,0.19,1.47,3,9972.57,2209.6,2
100065,9,1,2,31,0.8,0.73,1,66693.83,364.3,0
100066,2,6,1,28,0.15,0.74,3,112053.63,2336.12,7
100067,13,7,2,42,0.76,0.52,0,158131.32,592.66,6
100068,9,7,1,68,0.29,1.35,0,46935.57,1849.14,1
100069,12,10,2,159,0.36,1.44,4,22063.16,1322.76,2
100070,3,4,2,133,0.38,0.53,4,183652.18,1174.43,10
100071,15,9,0,67,0.65,0.9,2,123498.06,2462.24,10
100072,7,1,2,121,0.19,1.31,4,14622.43,554.99,0
100073,9,6,1,185,0.26,0.85,3,133919.02,118.79,8
100074,2,4,6,53,0.82,1.17,4,125323.93,270.75,1
100075,5,10,2,140,0.28,1.11,3,9113.8,752.01,0
100076,8,8,1,41,0.75,1.14,2,45117.0,2487.35,10
100077,10,5,2,231,0.48,0.69,3,1101.89,2307.71,5
100078,13,9,1,140,0.43,1.4,0,127418.77,2267.82,0
100079,5,10,2,47,0.58,0.39,3,55413.64,1552.41,9
100080,3,6,2,141,0.29,0.71,4,173122.81,1052.42,9
100081,15,2,0,30,0.28,0.95,1,4650.3,1338.38,2
100082,13,2,2,86,0.45,1.24,4,96989.59,1293.44,10
100083,9,8,1,125,0.63,0.77,4,90690.85,2480.08,6
100084,15,2,4,134,0.15,0.47,4,171647.53,817.63,1
100085,13,7,1,209,0.7,0.31,5,153209.14,711.52,2
100086,5,5,0,191,0.46,0.62,2,179596.24,985.3,3
100087,6,5,4,163,0.88,0.36,3,158308.96,739.72,6
100088,9,0,2,79,0.53,1.34,4,91324.26,2407.93,10
100089,13,6,3,68,0.58,0.74,2,143720.46,563.84,6
100090,14,6,0,143,0.99,1.48,3,113198.06,2225.78,3
100091,1,5,3,152,0.86,1.05,2,152842.94,882.04,9
100092,5,2,3,38,0.41,1.21,4,140755.39,1348.22,4
100093,14,0,4,65,0.37,0.61,0,132951.42,1428.97,4
100094,10,3,2,185,0.88,1.15,5,28651.73,517.05,8
100095,14,1,0,90,0.86,0.62,2,196051.7,1543.34,10
100096,1,7,1,190,0.71,0.51,5,167960.74,675.4,5
100097,1,8,2,175,0.23,0.7,4,191399.56,839.13,3
100098,3,7,1,114,0.65,1.05,2,2937.86,1816.4,1
100099,11,3,1,111,0.69,1.38,4,190841.53,421.33,3
100100,3,2,2,73,0.74,0.36,3,68097.88,1087.74,0
100101,15,5,2,168,0.91,0.36,2,128947.77,2188.6,3
100102,12,4,3,217,0.29,1.5,0,98264.67,296.35,6
100103,4,5,1,103,0.93,0.65,0,185241.48,1882.7,4
100104,11,3,2,158,0.54,1.31,2,145737.72,1195.65,3
100105,13,6,2,107,0.26,1.42,2,146928.43,674.78,10
100106,15,7,4,143,0.31,0.31,1,48038.91,2125.98,7
100107,9,6,2,183,0.88,1.15,2,151180.78,1113.16,0
100108,2,4,1,99,0.95,0.79,3,163984.28,1016.6,10
100109,10,7,5,215,0.17,0.37,4,82110.46,1869.51,1
100110,2,5,3,125,0.13,0.65,4,69345.09,1780.85,5
100111,12,6,4,85,0.64,0.6,2,141614.47,1372.68,2
100112,6,3,0,149,0.3,1.07,0,62418.9,1943.19,9
100113,7,9,3,222,0.72,0.38,0,119126.59,2159.37,5
100114,11,8,0,183,0.95,1.49,5,199344.33,1237.27,0
100115,6,4,1,168,0.53,0.34,2,115373.29,1704.74,10
100116,5,7,0,217,0.15,1.21,1,104041.32,1475.55,5
100117,6,3,3,19,0.63,0.3,3,174872.84,2499.69,7
100118,12,2,3,205,0.55,1.22,2,118463.99,439.64,9
100119,9,3,1,28,0.56,0.68,2,58759.52,1106.41,9
100120,11,3,1,226,0.89,0.62,0,117905.73,1147.29,4
100121,8,5,4,236,0.85,0.91,4,61110.44,951.01,6
100122,4,8,2,119,0.55,1.44,4,129456.46,1761.8,8
100123,5,6,2,61,0.22,0.4,5,95774.7,275.61,10
100124,10,1,1,191,0.43,1.43,3,24334.68,2320.13,8
100125,2,3,4,7,0.78,0.8,1,120539.73,2318.66,1
100126,13,9,3,192,0.69,1.5,1,28546.88,950.67,10
100127,4,0,5,149,0.18,0.68,3,97113.4,775.02,0
100128,12,6,2,124,0.36,1.41,4,174676.45,121.19,7
100129,10,7,4,167,0.98,1.35,1,96288.95,331.36,5
100130,15,8,2,59,0.76,0.65,5,48453.01,1023.8,10
100131,6,6,2,112,0.54,1.18,4,102131.53,677.58,7
100132,4,2,2,180,0.93,1.42,1,49386.85,644.16,8
100133,4,2,2,215,0.55,0.66,1,123130.01,2252.58,3
