CustomerID,Age,Gender,Region,Job,MaritalStatus,Dependents,ImmigrationStatus,Income,HouseholdIncome,CreditScore,DebtToIncomeRatio,HasDefaultedBefore,Class,BranchID,HistoryStart
100001,60,Female,Prince George,Doctor,Married,0,Citizen,255700.0,458800.0,560,0.215128833543266,1,Basic,10400-016,2019-07-30
100002,73,Male,Coquitlam,Engineer,Married,1,Citizen,126000.0,252900.0,726,0.368932225933604,0,Advance,10170-016,2016-10-30
100003,50,Male,Langley,Engineer,Single,0,Work Permit,61600.0,61600.0,608,0.107322825492552,0,Basic,10680-016,2022-09-30
100004,36,Female,Vancouver,Doctor,Widowed,1,Permanent Resident,220500.0,423500.0,651,0.254538142493662,0,Premium,00110-016,2021-10-30
100005,64,Female,Vancouver,Technician,Married,3,Citizen,67400.0,136700.0,624,0.0785872255966078,0,Basic,10100-016,2020-11-30
100006,29,Male,Abbotsford,Software Developer,Divorced,0,Work Permit,83300.0,160400.0,581,0.564752379528499,0,Basic,10670-016,2023-03-30
100007,42,Male,Vancouver,Software Developer,Single,0,Citizen,122600.0,122600.0,625,0.398089783428665,0,Advance,00020-016,2015-12-30
100008,60,Female,Burnaby,Software Developer,Single,0,Citizen,151700.0,151700.0,620,0.361607932897796,1,Basic,10300-016,2019-07-30
100009,40,Female,Richmond,Doctor,Single,0,Citizen,250800.0,250800.0,679,0.145738071929718,0,Premium,10290-016,2015-12-30
100010,44,Female,Richmond,Engineer,Single,0,Citizen,64800.0,64800.0,650,0.365978398210259,0,Basic,10290-016,2020-03-30
100011,32,Female,Victoria,Doctor,Married,1,Citizen,252000.0,499000.0,578,0.851970818963449,0,Premium,10580-016,2018-03-30
100012,32,Male,Port Coquitlam,Doctor,Single,1,Citizen,337200.0,337200.0,707,0.731122150289255,0,Premium,10710-016,2019-03-30
100013,45,Male,Burnaby,Manager,Married,1,Permanent Resident,214200.0,424800.0,572,0.41414241389237,0,Premium,00140-016,2021-08-30
100014,74,Female,Vancouver,Engineer,Married,1,Work Permit,64400.0,127400.0,623,0.390600374517007,0,Basic,00020-016,2022-11-30
100015,57,Female,Vancouver,Manager,Single,0,Citizen,127900.0,127900.0,778,0.0349203091765901,0,Advance,10230-016,2017-10-30
100016,61,Male,Coquitlam,Nurse,Divorced,0,Citizen,77400.0,149400.0,538,0.191825672063512,1,Basic,10170-016,2018-08-30
100017,45,Male,Surrey,Engineer,Married,1,Citizen,66900.0,122200.0,677,0.291027993931563,0,Basic,10200-016,2019-06-30
100018,24,Female,Coquitlam,Engineer,Single,0,Citizen,77400.0,77400.0,559,0.199709554609712,0,Basic,10170-016,2019-05-30
100019,43,Female,Victoria,Engineer,Single,0,Permanent Resident,116500.0,116500.0,735,0.24194505103845,0,Advance,10600-016,2021-02-28
100020,74,Male,Maple Ridge,Software Developer,Single,0,Citizen,160600.0,160600.0,666,0.0900924547959015,0,Advance,10690-016,2020-01-30
