CustomerID,PastLoanID,OriginationDate,TermMonths,RemainingBalance,LatePaymentCount
100001,PL100001_0,2018-10-30,48,1642.13,0
100001,PL100001_1,2016-10-30,60,5602.99,0
100002,PL100002_0,2018-03-30,12,18936.96,2
100003,PL100003_0,2016-03-30,36,4913.34,1
100003,PL100003_1,2016-01-30,60,885.74,1
100003,PL100003_2,2019-12-30,60,13708.68,1
100004,PL100004_0,2023-01-30,24,3633.38,1
100006,PL100006_0,2022-12-30,12,12908.58,0
100006,PL100006_1,2018-07-30,60,1565.32,0
100007,PL100007_0,2018-12-30,60,640.97,1
100007,PL100007_1,2021-04-30,36,14301.6,0
100007,PL100007_2,2020-08-30,36,19924.9,1
100008,PL100008_0,2024-05-30,12,15327.98,4
100008,PL100008_1,2016-02-29,48,9522.11,0
100008,PL100008_2,2017-11-30,12,1078.89,1
100010,PL100010_0,2021-09-30,24,19279.64,0
100011,PL100011_0,2019-05-30,12,4838.41,0
100011,PL100011_1,2015-12-30,48,14939.22,0
100011,PL100011_2,2021-09-30,24,8523.1,1
100012,PL100012_0,2018-10-30,60,8444.24,0
100012,PL100012_1,2022-08-30,24,15528.93,1
100013,PL100013_0,2021-02-28,24,19687.61,0
100014,PL100014_0,2019-10-30,36,8931.81,0
100014,PL100014_1,2016-04-30,48,4722.41,1
100015,PL100015_0,2018-08-30,60,10761.24,0
100015,PL100015_1,2017-10-30,12,8456.54,1
100016,PL100016_0,2015-12-30,36,19195.29,1
100016,PL100016_1,2015-08-30,48,2970.38,0
100017,PL100017_0,2022-06-30,24,18230.64,0
100017,PL100017_1,2022-10-30,12,7114.26,1
100018,PL100018_0,2017-09-30,60,12268.89,1
100018,PL100018_1,2015-07-30,24,12334.99,1
100019,PL100019_0,2019-04-30,12,10869.13,1
100020,PL100020_0,2023-01-30,12,18462.69,3
100020,PL100020_1,2017-06-30,36,414.75,2
100021,PL100021_0,2020-10-30,48,9145.35,3
100021,PL100021_1,2016-08-30,60,13493.1,1
100021,PL100021_2,2020-03-30,24,5073.16,1
100022,PL100022_0,2017-05-30,36,6517.6,3
100022,PL100022_1,2018-01-30,60,1388.01,0
100023,PL100023_0,2020-06-30,12,16165.41,1
100024,PL100024_0,2015-12-30,60,9729.28,0
100024,PL100024_1,2017-03-30,12,829.85,3
100024,PL100024_2,2020-09-30,36,7744.08,0
100025,PL100025_0,2016-01-30,36,14504.13,2
100025,PL100025_1,2018-12-30,48,11437.82,0
100026,PL100026_0,2015-10-30,48,5734.27,0
100026,PL100026_1,2019-04-30,60,14174.91,2
100029,PL100029_0,2016-06-30,36,13585.95,2
100030,PL100030_0,2019-05-30,24,3808.09,1
100030,PL100030_1,2016-01-30,24,16057.56,1
100030,PL100030_2,2022-01-30,36,16768.85,2
100031,PL100031_0,2017-12-30,12,3092.28,1
100031,PL100031_1,2020-06-30,36,2208.87,0
100031,PL100031_2,2022-07-30,12,4706.63,0
100032,PL100032_0,2017-11-30,24,19087.77,2
100032,PL100032_1,2020-04-30,60,9772.29,1
100032,PL100032_2,2016-12-30,48,18675.43,1
100033,PL100033_0,2017-10-30,60,837.13,1
100033,PL100033_1,2016-01-30,60,6257.93,2
100036,PL100036_0,2020-01-30,36,14902.39,0
100036,PL100036_1,2019-09-30,24,8280.95,1
100036,PL100036_2,2017-03-30,24,6666.21,0
100038,PL100038_0,2023-08-30,12,17240.85,1
100039,PL100039_0,2017-02-28,12,883.06,1
100039,PL100039_1,2023-12-30,12,10751.65,0
100039,PL100039_2,2021-07-30,24,2556.57,1
100041,PL100041_0,2022-01-30,24,14996.0,2
100041,PL100041_1,2018-08-30,12,11728.75,1
100042,PL100042_0,2020-11-30,48,10582.74,1
100042,PL100042_1,2020-04-30,60,5829.32,0
